RowNames,EM,PE,USHY,AI,BND
1989-11-30,0.026304369,0.01267247,-0.003267613,-0.018507713,-0.012811102
1989-12-31,0.057816657,0.008224335,-0.013840985,-0.044570202,0.006673766
1990-01-31,-0.02208291,-0.079286922,-0.033963939,-0.005239322,-0.014184748
1990-02-28,-0.026130402,0.011834057,-0.020674374,0.020380469,-0.030558958
1990-03-31,0.05051954,0.024294138,0.017287782,0.019058594,0.003356966
1990-04-30,-0.023365606,-0.039457387,-0.007157752,-0.002506706,-0.005207948
1990-05-31,0.028003459,0.086626835,0.01065891,0.007701765,0.001684469
1990-06-30,-0.002580431,-0.007965054,0.021548684,-0.004119933,0.003489262
1990-07-31,-0.008169367,-0.017266548,0.017296699,-0.022671808,0.007528499
1990-08-31,-0.143974239,-0.102065538,-0.054113297,-0.00510625,-0.012002271
1990-09-30,-0.145544202,-0.058669133,-0.046703042,-0.005948005,-0.006223452
1990-10-31,0.059737183,-0.013080144,-0.033990564,-0.025406178,0.004348
1990-11-30,-0.030256614,0.059528134,0.002088104,-0.011204317,-0.002194831
1990-12-31,-0.032574329,0.027521378,0.011911367,-0.001012175,-0.001094732
1991-01-31,0.003241301,0.042121698,0.01261597,-0.000252783,0.003590746
1991-02-28,0.115208756,0.065677516,0.077756167,0.031490131,0.014496643
1991-03-31,0.015355237,0.031123347,0.053485223,0.154819361,-0.003762015
1991-04-30,0.011077319,0.002311243,0.036573784,0.030480416,0.000568807
1991-05-31,0.031176007,0.028856117,-0.008564273,-0.000755107,0.005831731
1991-06-30,-0.050840235,-0.045314444,0.026338528,0.054442025,-0.009479167
1991-07-31,-0.011068044,0.042097599,0.022443551,-0.035485674,-0.012945264
1991-08-31,0.011304724,0.021733409,0.018015244,0.00467577,0.006564103
1991-09-30,-0.024193505,-0.01438603,0.009930497,-0.032033879,0.001863933
1991-10-31,-0.018384809,0.012253502,0.029601172,0.013152708,-0.001643586
1991-11-30,-0.034840721,-0.04390134,0.003826888,-0.027782691,0.000998259
1991-12-31,-0.0061329,0.097794992,0.003616124,-0.030896424,0.002750857
1992-01-31,0.060741788,-0.012328385,0.030705819,0.065904236,0.017820015
1992-02-29,0.030711081,0.009142366,0.021299049,0.013263683,-0.001853003
1992-03-31,-0.028722042,-0.024900456,0.011444814,0.013037217,-0.010464087
1992-04-30,0.016561873,0.015726886,0.000647748,0.007008426,-0.003355011
1992-05-31,0.013300017,-0.001498799,0.006307766,-0.026087832,-0.001848849
1992-06-30,-0.064285094,-0.02048261,0.00756123,-0.040579986,-0.005938158
1992-07-31,-0.082971779,0.034369223,0.013239892,-0.017683411,-0.007646302
1992-08-31,-0.057022019,-0.025659667,0.006948804,-0.048196698,0.002827701
1992-09-30,-0.026628612,0.015442912,0.012602953,0.008185795,0.021081697
1992-10-31,0.024465929,0.010499019,-0.014329184,0.095023975,0.019000142
1992-11-30,0.01805703,0.039020728,0.012275974,0.037836028,0.003299493
1992-12-31,0.008533785,0.010029671,0.004768479,0.015491647,0.002925163
1993-01-31,0.011129546,0.008633534,0.022579129,-0.001002723,0.007479814
1993-02-28,0.062966582,0.004681963,0.016341762,0.041031239,0.016036341
1993-03-31,0.007577001,0.022551685,0.01472019,-0.013316732,4.47E-05
1993-04-30,-0.013201442,-0.031821179,0.000983145,-0.003418452,-0.00628276
1993-05-31,-0.007779194,0.025833617,0.01008164,0.008304087,-0.001632758
1993-06-30,0.037140297,0.003912823,0.016818682,0.081790542,0.004480888
1993-07-31,0.035778346,0.00748159,0.019606437,0.049352932,0.007738749
1993-08-31,0.061121314,0.034914418,0.006231314,-0.025157527,0.015941647
1993-09-30,-0.039687668,-0.004389854,1.49E-05,-0.029698368,0.001660116
1993-10-31,0.058481191,0.014123445,0.018959189,0.038367686,0.010636919
1993-11-30,-0.024661435,-0.010375963,0.010661658,0.018931238,0.005824085
1993-12-31,0.08520753,0.021371193,0.012180666,0.047615927,0.00357177
1994-01-31,0.036447021,0.029388332,0.020333448,0.010864241,-0.004190392
1994-02-28,-0.046023975,-0.032194928,-0.015309753,-0.035506514,-0.017370596
1994-03-31,-0.025356475,-0.04639295,-0.035244704,-0.026087211,-0.011612335
1994-04-30,0.043676561,0.011283573,-0.012394583,-0.014750389,-0.006786119
1994-05-31,-0.058089785,0.006044313,-0.007047724,-0.00304757,-0.007114943
1994-06-30,-0.057395379,-0.028083369,0.002893319,-0.017601288,-0.006185159
1994-07-31,0.060217388,0.025084229,0.000708724,-0.005663519,0.005685229
1994-08-31,0.00840938,0.036679651,0.000704313,-0.010922023,-0.012448993
1994-09-30,-0.065408508,-0.022898686,-0.002177436,-0.009495246,-0.012193286
1994-10-31,0.004215279,0.011854624,-0.001603535,-0.032960597,0.001796747
1994-11-30,-0.003148665,-0.045395445,-0.016326762,0.03629441,0.006411963
1994-12-31,-0.012122956,0.009691467,0.004787621,-0.020554346,-0.007823575
1995-01-31,-0.030535471,0.016210798,0.00851517,-0.027335854,0.012558343
1995-02-28,-0.010081947,0.040158918,0.031701409,-0.023056898,0.008023025
1995-03-31,-0.040581245,0.017147748,0.006522491,-0.04777068,0.014741503
1995-04-30,0.049446388,0.023802392,0.023528859,0.022507179,0.008935982
1995-05-31,0.032453537,0.036866314,0.031323101,0.03178554,0.021100409
1995-06-30,-0.015580292,0.024950143,0.003246561,-0.015001407,-0.013743949
1995-07-31,0.051081024,0.032397714,0.005271251,0.002220567,0.007690786
1995-08-31,0.005986539,0.008920268,0.005053314,0.084099377,0.009910117
1995-09-30,-0.025580858,0.03141783,0.005422021,-0.019297798,0.006775566
1995-10-31,-0.027480145,-0.010297158,0.006330335,-0.013075383,0.009984149
1995-11-30,0.028025705,0.04072543,0.005353521,0.036127259,0.017598415
1995-12-31,0.026120205,0.011633445,0.012068865,0.008510034,0.006485568
1996-01-31,0.069795591,0.030145722,0.017380129,0.060657624,0.010816525
1996-02-29,-0.002085948,0.010464773,-0.00104118,-0.021728358,-0.018064599
1996-03-31,0.008435634,0.007845117,-0.00629935,0.01296291,0.002591701
1996-04-30,0.048916804,0.015858102,-0.002421959,0.062783384,0.008821097
1996-05-31,0.005636862,0.019914323,0.001566092,0.0065565,-0.001607351
1996-06-30,0.007092221,-0.010944275,-0.003280741,0.003184701,-0.00547158
1996-07-31,-0.055209385,-0.053990076,0.00258099,-0.036378566,0.007989143
1996-08-31,0.009579134,0.025328333,0.007415714,0.012604745,0.007410497
1996-09-30,0.060951207,0.053771584,0.021638272,0.042018928,0.014401993
1996-10-31,0.00021866,0.012633103,0.003089091,0.017935027,0.005099521
1996-11-30,0.0692387,0.069681542,0.01846176,0.03155556,0.012036299
1996-12-31,0.01716495,-0.01502574,0.00533038,0.015538472,0.000149786
1997-01-31,0.076747273,0.05441018,0.003627903,0.081969592,0.008175282
1997-02-28,0.033651408,-0.003483621,0.011226062,0.04148126,0.011268714
1997-03-31,0.025877546,-0.047940937,-0.016836394,-0.014239495,-0.012712858
1997-04-30,0.017504018,0.052200552,0.014327885,0.036323371,0.004859492
1997-05-31,0.012156224,0.061435316,0.01490873,-0.000663289,-0.000966902
1997-06-30,0.086634404,0.038311957,0.011583214,0.032397777,0.013423485
1997-07-31,0.109015491,0.079003719,0.024304894,0.088952989,0.002619655
1997-08-31,-0.097542594,-0.042990494,-0.004382102,-0.020256616,-0.007313518
1997-09-30,0.076858368,0.055085508,0.01711704,0.000309206,0.003900889
1997-10-31,-0.088590019,-0.040670515,-0.00295478,-0.035148125,-0.007932402
1997-11-30,0.042349641,0.037517523,0.007855723,0.022325411,0.004136741
1997-12-31,0.053993961,0.016966438,0.00638649,0.034085391,0.00991566
1998-01-31,0.057155196,0.000918914,0.011828605,0.013763051,0.013915689
1998-02-28,0.070712452,0.06751803,0.000555525,0.002641471,0.005468279
1998-03-31,0.111119388,0.046191304,0.005339722,0.044039178,-0.000586938
1998-04-30,0.000478472,0.003837933,-0.001522669,-0.032750895,-0.004503087
1998-05-31,0.039930213,-0.029071674,0.001449925,-0.012118985,0.008979104
1998-06-30,0.02360626,0.031696863,0.00271892,0.008118222,0.004827315
1998-07-31,0.015755137,-0.021323046,0.00288807,-0.020472786,0.005441937
1998-08-31,-0.153888905,-0.157320064,-0.055468309,-0.05639501,0.012121771
1998-09-30,-0.090807098,0.050208408,-0.011982956,-0.059530338,0.014316134
1998-10-31,0.066311395,0.068855003,-0.02772905,-0.01881865,-0.002205239
1998-11-30,0.079242216,0.05657946,0.047313144,0.03489168,0.00443375
1998-12-31,0.038575778,0.059975186,-0.004449424,0.006552172,0.009357287
1999-01-31,0.025166896,0.037720242,0.015859454,0.049064395,0.012796162
1999-02-28,-0.017434431,-0.041081117,-0.011613718,0.028845186,-0.012718912
1999-03-31,0.017274346,0.028650135,0.003933455,0.03655737,0.002931434
1999-04-30,0.046528639,0.045317654,0.01795894,0.048135975,0.011134865
1999-05-31,-0.032939484,-0.022497389,-0.012525992,0.019734631,-0.007664006
1999-06-30,0.036929859,0.047615641,-0.005972473,0.036152667,-0.021386229
1999-07-31,-0.0413387,-0.037319523,-0.006827344,-0.03236307,-0.011724035
1999-08-31,0.033304514,-0.016375253,-0.015518946,0.009856289,-0.00726647
1999-09-30,-0.014896012,-0.030325663,-0.008919287,-0.002472438,-0.005809982
